会社名,フリガナ,法人番号,許可番号,大臣知事区分,法人個人,郵便番号,所在地,代表者名,代表者フリガナ,資本金千円,Web,Instagram,経審ステータス,文化財入札,自社,比較対象外
有限会社豊工務店,,6130002004501,26-005677,京都府知事,法人,,京都府京都市北区北野上白梅町70,山本一博,,,,,倒産,有,,
株式会社竹田工務店,,8130001011117,,,,601-8033,京都府京都市南区東九条南石田町３２－１,,,,,,無,,,
株式会社魚津社寺工務店,ウオツシャジコウムテン,2180001018955,23-028070,愛知県知事許可,法人,454-0004,愛知県名古屋市中川区西日置２－１２－２０,魚津忠弘,ウオツタダヒロ,20000,,,有,,,
田中社寺株式会社,タナカシャジ,2200001003236,16-011567,岐阜県知事許可,法人,500-8483,岐阜市加納東丸町2丁目20番地,田中敬二,タカナケイジ,20000,,,有,,,
株式会社堤瓦商店,,2130001003383,26-002465,京都府知事,法人,,京都府京都市上京区猪熊通下立売下ル大黒町454-11,長谷川浩次,,20000,,,有,有,○,
株式会社北村誠工務店,,4130001004586,26-003068,京都府知事,法人,,京都市北区紫野南舟岡町45,北村隆一,,,,,有,有,,
有限会社竹村瓦商会,,1130002001024,26-005355,京都府知事,法人,,京都府京都市右京区花園寺ノ前町38,竹村登茂枝,,,,,有,有,,
株式会社寺本甚兵衛製瓦,,6130001015136,26-007802,京都府知事,法人,,京都府京都市伏見区深草瓦町20,寺本光男,,,,,有,有,,
株式会社瓦熊,,6130001029978,26-008451,京都府知事,法人,,京都府京都市伏見区羽束師菱川町671,佐藤修平,,,,,有,有,,
有限会社安達左官店,,2130002006591,26-008508,京都府知事,法人,,京都府京都市下京区花屋町通間之町西入天神町４１１－２,安達明宏,,,,,有,有,,
山本興業株式会社,,4130001007515,26-012434,京都府知事,法人,,京都府京都市左京区岩倉南池田町56,普照良彦,,,,,有,有,,
株式会社磯崎瓦店,,1130001002510,26-013103,京都府知事,法人,,京都府京都市上京区裏門通り出水上ル白銀町254,磯崎幸昌,,,,,有,有,,
岸田工業株式会社,,4130001016953,26-013378,京都府知事,法人,,京都府京都市山科区上花山久保町74-1,岸田信行,,,,,有,有,,
